# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
#  
# Data de início: 20230101
# Data de término: 20231231
Nº dia,Novos usuários
0363,11969
0364,11471

#  
# Data de início: 20230101
# Data de término: 20231231
Coorte,Dia 1,Dia 7,Dia 30
0,0.03174498416050686,0.00970168954593453,0.0032998944033790917
1,0.02347762289068232,0.007113464544323583,0.0032855912469297267
2,0.03045982183028885,0.009268424367857464,0.0045892198326284534
3,0.020053261462444252,0.008695094170115828,0.0031764366156511693
4,0.02366141503400965,0.010755188651822569,0.003197488518109412
5,0.02418159773676411,0.00868920921460326,0.002626970227670753
6,0.03359580052493438,0.011473565804274466,0.005024371953505812
7,0.02886529528865295,0.011147976111479762,0.0032514930325149302
8,0.02940751096755532,0.009159716530877887,0.004001349852962445
9,0.027649568927980494,0.009753548724200993,0.0044413480797700945
10,0.028554070473876064,0.010714680216502816,0.004915497625096653
11,0.03256738583874174,0.011635385604864644,0.004268257030930246
12,0.025559828093191586,0.010009047726758652,0.003505994118977607
13,0.01981114608405851,0.007498611368265136,0.0036567302351416405
14,0.024493667354795513,0.008927076940244378,0.0038498019304803884
15,0.03702063029996203,0.011644095684090621,0.006201746614352613
16,0.025434164154388348,0.009978344868583075,0.004713175661330729
17,0.026257992093318364,0.009566108643662453,0.0036116940797501097
18,0.028000738075468216,0.008764646185072424,0.0028600424393394226
19,0.017657891886036184,0.005958184378723865,0.002672155418336764
20,0.015423918250039918,0.005269040395976369,0.0014689445952418968
21,0.02157221206581353,0.009924262209454165,0.0034473752938103943
22,0.02493512812195913,0.009082062925721699,0.003000324359390204
23,0.022267206477732792,0.007738017500326499,0.003950633407339689
24,0.023616422238097238,0.008866663865193091,0.0034458124973736183
25,0.019924949357420382,0.00903264370869724,0.0018596619400259025
26,0.0162309734844235,0.0066569430419985785,0.003253674408167845
27,0.018607726456975535,0.0056673278549164065,0.00292811939170681
28,0.02083150600824489,0.007104639943864574,0.003376896763441803
29,0.020162074554294977,0.006353322528363047,0.0030145867098865476
30,0.026097501819063788,0.012030075187969926,0.004559786563182149
31,0.037412845076809705,0.015135196417436653,0.004648262570149084
32,0.02310077519379845,0.009534883720930233,0.0027906976744186047
33,0.018092849212549857,0.00789506147456721,0.002261606151568732
34,0.018983079383786513,0.006945029042848725,0.002862193787355838
35,0.03154753446070769,0.011723745914452181,0.0040500213159016625
36,0.026766441214563248,0.010181321053388977,0.003741545546121744
37,0.02746141564662054,0.009473124002128791,0.0029448288096505233
38,0.026027347043513324,0.01022764764104256,0.0028226841159866563
39,0.022312501983686166,0.00955343257053988,0.001777382803821373
40,0.018672957437618366,0.00787453899059707,0.0017277469515234076
41,0.022731865023237017,0.006920590018185492,0.002677308547181249
42,0.01947229360454595,0.006587281479604763,0.006876832313873104
43,0.025205589356154308,0.005582670321588554,0.008190145082570034
44,0.019991428643456776,0.004285678271611163,0.006453727279602693
45,0.02341229606415338,0.005046548068946446,0.004539588902202968
46,0.016768916155419224,0.0051533742331288344,0.0031083844580777095
47,0.020967253390771715,0.006865681688149968,0.004173257496718608
48,0.035465242972325124,0.007354543473523644,0.005556766179995642
49,0.03344073848297483,0.007445789427849865,0.005791169554994339
50,0.025297752305901318,0.0055968478552879015,0.0032237843646458313
51,0.03267674454115132,0.010306917086578103,0.006871278057718736
52,0.033240403173922364,0.012180999356637358,0.0038601758524555007
53,0.020054919626052884,0.007096356175372558,0.002221468020116627
54,0.017413761298653387,0.007157351042243128,0.0028408042796532005
55,0.02176129234629862,0.006508782936010038,0.004469887076537014
56,0.009278417473115785,0.0034330144650528407,0.0017814561548382308
57,0.016589878873448764,0.008229917515047931,0.0025451437913353646
58,0.02517620355990921,0.008451797873611278,0.0036136662286465177
59,0.022621105675506677,0.008349578842829294,0.0034575348512156543
60,0.02734240440923183,0.007449190492593868,0.002798828797795384
61,0.023484535134886714,0.007077531136541202,0.003354933590698102
62,0.022101606600086844,0.006382978723404255,0.005167173252279635
63,0.017148900808340257,0.006421394575810229,0.0030973785600966986
64,0.026254485928351067,0.00749228735125606,0.004942391235912611
65,0.017334484034027865,0.014202934286771052,0.004167180372333867
66,0.01661600212495942,0.013930289525720863,0.003069385827701207
67,0.020003588087549335,0.016011840688912808,0.002377108001435235
68,0.015809425346773497,0.012233996726113552,0.002240027569570087
69,0.0263539836528913,0.01840959437781682,0.004506913146436483
70,0.025293203334746363,0.01738024586689275,0.0052282040412604215
71,0.05000271164379847,0.017842616193936765,0.00509789034112479
