Data,Cidades,Nome da cidade,Visualizações
2024-02-15,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,562
2024-02-16,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,1390
2024-02-17,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,48
2024-02-18,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,0
2024-02-19,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,135
2024-02-20,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,131
2024-02-21,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,161
2024-02-22,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,69
2024-02-23,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,12
2024-02-24,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,0
2024-02-25,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,0
2024-02-26,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,0
2024-02-27,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,36
2024-02-28,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,145
2024-02-29,0x94ce448183a461d1:0x9ba94b08ff335bae,São Paulo,0
2024-02-01,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,13
2024-02-02,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,11
2024-02-03,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,0
2024-02-04,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,0
2024-02-05,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,39
2024-02-06,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,25
2024-02-07,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,10
2024-02-08,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,497
2024-02-09,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,34
2024-02-10,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,0
2024-02-11,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,12
2024-02-12,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,0
2024-02-13,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,0
2024-02-14,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,19
2024-02-15,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,273
2024-02-16,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,584
2024-02-17,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,13
2024-02-18,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,0
2024-02-19,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,68
2024-02-20,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,36
2024-02-21,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,55
2024-02-22,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,23
2024-02-23,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,0
2024-02-24,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,0
2024-02-25,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,0
2024-02-26,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,0
2024-02-27,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,0
2024-02-28,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,34
2024-02-29,0x9bde559108a05b:0x50dc426c672fd24e,Rio de Janeiro,0
