Cidades,Nome da cidade,País,País,Visualizações,Tempo de exibição (horas),Duração média da visualização
0x94cecbb720773b17:0x670295f5c3baa2d4,Bragança Paulista,BR,BR-SP,44,0.4533,0:00:37
0x9519424ad6403661:0x5d959f79a24a61c8,Novo Hamburgo,BR,BR-RS,44,0.382,0:00:31
0x996f6e2b493369:0xbb7fb4c04edcc270,Belford Roxo,BR,BR-RJ,44,0.6199,0:00:50
0x7b982a3a30d74a3:0x8c394db26dbbcbb,Russas,BR,BR-CE,42,0.703,0:01:00
0x94ce445de3962263:0x9ca2ba904b9421db,Diadema,BR,BR-SP,42,0.5505,0:00:47
0x94d8b65cc2e52aad:0x2dc004f5e6adebc4,Balneário Camboriú,BR,BR-SC,42,0.5326,0:00:45
0x95104991ad796447:0x99bab4aec1bd644f,Pelotas,BR,BR-RS,42,0.4096,0:00:35
0x94b87726bb9dd181:0xd9d7d71505999bc,São Carlos,BR,BR-SP,40,0.5542,0:00:49
0xa68d65ce6647bb:0xf6b57930a4c07785,Ribeirão das Neves,BR,BR-MG,40,0.5344,0:00:48
0x7163e1a53f73969:0xdd9b017baf4d24c2,Lauro de Freitas,BR,BR-BA,38,0.437,0:00:41
0x7a31e5ccc8ce973:0xe90f4b65137c123a,Iguatu,BR,BR-CE,38,0.5965,0:00:56
0x7a58af5820e65df:0xbdb334b1986d14f1,Patos,BR,BR-PB,38,0.6664,0:01:03
0x94c7dba833b7ed7d:0xeff01d8a3c639a61,Rio Claro,BR,BR-SP,38,0.3783,0:00:35
0x94cf004a6c29542f:0x89d7d06ffc024cbf,Carapicuíba,BR,BR-SP,38,0.3081,0:00:29
0x94cfa8da1b269d77:0xb03b39035ef04ea5,Cotia,BR,BR-SP,37,0.253,0:00:24
0x7a186ff4c51d805:0x7d3388b8f96d7405,Crato,BR,BR-CE,36,0.4966,0:00:49
0x949644777aaaf101:0xe8b1a2cfce0a1d27,Araçatuba,BR,BR-SP,35,0.3773,0:00:38
