Cidades,Nome da cidade,País,País,Visualizações,Tempo de exibição (horas),Duração média da visualização
0x978a936f151283:0xff2b16c0bfb117c4,Nova Friburgo,BR,BR-RJ,48,"1,5499",0:01:56
0x78a6ed7c38368d7:0x6fee835a48aebaf3,Bacabal,BR,BR-MA,47,"0,69",0:00:52
0x7ec3adcd5926c75:0x45351f9daa75bb92,Parnaíba,BR,BR-PI,46,"2,008",0:02:37
0x998d9fc58eb9a7:0x853ea58d8bafb4f6,Maricá,BR,BR-RJ,46,"0,7336",0:00:57
0x740af3f65676825:0x98b170b3cebd898b,Jequié,BR,BR-BA,45,"0,9539",0:01:16
0x739ab1ec404e2fb:0xc99a7293581f2b67,Itabuna,BR,BR-BA,43,"0,7355",0:01:01
0x7c1b364b0ef2211:0xc6efa20634a90dec,Itapipoca,BR,BR-CE,43,"1,4234",0:01:59
0x97b4d9abd0d487:0x1adf24037f21b4b2,Rio das Ostras,BR,BR-RJ,43,"0,7247",0:01:00
0x76d5720ed1473f7:0x3eda83c2d2d73d8a,Senhor do Bonfim,BR,BR-BA,42,"1,3555",0:01:56
0x78e37b76378077d:0x585d85fcad6f36fc,Timon,BR,BR-MA,41,"1,1233",0:01:38
0x7aaf07ec0088f1f:0x79afc0089b9afbdc,Cabo de Santo Agostinho,BR,BR-PE,41,"0,5327",0:00:46
0x94ecd6ee42618c1f:0xc356592828e03925,Maringá,BR,BR-PR,41,"1,1314",0:01:39
0x925fd98e21d31be3:0x5c0cc4ab15463e7e,Itaituba,BR,BR-PA,40,"0,7671",0:01:09
0x92d90dde5d8c4ffb:0x4a30e815e64dc4fc,Araguaína,BR,BR-TO,40,"0,7068",0:01:03
0x94cc4bb3858cc2e7:0xba25a33168f8c1,São José dos Campos,BR,BR-SP,40,"1,0291",0:01:32
0x99a1369b6ae9c7:0x38dca2bae1a65323,Magé,BR,BR-RJ,40,"0,8554",0:01:16
0x99bff5afbc21c3:0x81cefcbdcd8acf65,Itaboraí,BR,BR-RJ,40,"0,61",0:00:54
0xafffe7a9289aff:0x8f04aebcd0ce11f4,Ipatinga,BR,BR-MG,40,"1,1351",0:01:42
0x7b9b1e756001ebb:0xf679966fd97abab9,Aracati,BR,BR-CE,39,"1,5122",0:02:19
0x92a5af3f73727753:0xfbb120300e172d46,Castanhal,BR,BR-PA,39,"0,687",0:01:03
0x935bb8f0f9cf13df:0x85d1886146dc5a99,Águas Lindas de Goiás,BR,BR-GO,39,"2,3379",0:03:35
0x94ceff085b9ef207:0xf21e27d4c824c4e,Osasco,BR,BR-SP,39,"0,9128",0:01:24
0x75f8aae10d4ae69:0x97810f362c2db8c5,Barreiras,BR,BR-BA,38,"0,4066",0:00:38
0x7bdb59d2578cca9:0x4c318405007c3cd4,Quixeramobim,BR,BR-CE,38,"0,6318",0:00:59
0x7c75f0ffb1d76a5:0x8371342a0448d7ce,Aquiraz,BR,BR-CE,38,"3,2603",0:05:08
0x79c1a9c5d138f79:0xc6310389d590337e,Picos,BR,BR-PI,37,"0,3628",0:00:35
0x7ab17fa77c07f29:0x78d856ff05dd791,Olinda,BR,BR-PE,37,"1,5778",0:02:33
0x7be9fc4afc3f5e3:0x4920f6ec47296ab2,Quixadá,BR,BR-CE,37,"1,4968",0:02:25
0x92dd50f92324d7b3:0x8abd8fc75566af72,Parauapebas,BR,BR-PA,37,"0,548",0:00:53
0x9c5253944d458d:0xd96796845bd7fd3,Angra dos Reis,BR,BR-RJ,37,"0,7422",0:01:12
0x7593c0d45fc883d:0x2ba3aa82a523ba15,Santa Maria da Vitória,BR,BR-BA,36,"1,0109",0:01:41
0x7bbd776ef1eb865:0x82fba3b801984c31,Limoeiro do Norte,BR,BR-CE,36,"0,2823",0:00:28
0x7c11e2ca0b5a72d:0x1ae0020a3689dfd,Paracuru,BR,BR-CE,36,"0,4602",0:00:46
0x7981f5e5dd26ed9:0x852be5ade2b98798,Tauá,BR,BR-CE,35,"2,4752",0:04:14
0x7b8b9ed6a1b9089:0xc5bef6a343064861,Pacajus,BR,BR-CE,35,"0,3297",0:00:33
0x7be529263274c5b:0x7be3cc9c33557d66,Canindé,BR,BR-CE,35,"0,2907",0:00:29
0xbc606f20d4e52d:0x3836f9ce8f8f6baa,Itaperuna,BR,BR-RJ,35,"2,0551",0:03:31
0x73696a94abc86ff:0x677df9529c95e80f,Porto Seguro,BR,BR-BA,34,"1,8011",0:03:10
0x78e92368fcb0553:0xe21e8f9dcdce2bbf,Caxias,BR,BR-MA,34,"0,6031",0:01:03
0x7eb471b50dc8603:0x983b3c28be7f6677,Tianguá,BR,BR-CE,34,"0,9735",0:01:43
0x7ebdbdcfbe66681:0x6ec8f325507490fb,Camocim,BR,BR-CE,34,"0,6524",0:01:09
0x9630267844443b:0x9840d1e83fd0de59,Macaé,BR,BR-RJ,34,"0,7708",0:01:21
0x738b38a9554ff4f:0x71f06c3510ebd834,Ipiaú,BR,BR-BA,33,"2,524",0:04:35
0x7470a43f54cf1f3:0xab549acb757ec078,Poções,BR,BR-BA,33,"1,5731",0:02:51
0x76c56b43fbf9c45:0xd28cc2f5a189ff3b,Jacobina,BR,BR-BA,33,"1,2261",0:02:13
0x79577510928da35:0xa99078e297920218,Santa Quitéria,BR,BR-CE,33,"2,0977",0:03:48
0x9359823fe2633e47:0x6705012ead5650af,Novo Gama,BR,BR-DF,33,"1,4104",0:02:33
0x9e9bf8d9cfa62b:0x56dbc34364c7ad23,Barra Mansa,BR,BR-RJ,33,"0,5528",0:01:00
0xb8385bf1c80e6d:0x6a9e0846d04b26c0,Viana,BR,BR-ES,33,"0,43",0:00:46
0x7b9d9b8880e14b5:0x10162d575a42bed7,Icapuí,BR,BR-CE,32,"0,5067",0:00:57
0xca0df27a5749f5:0xd8297d72c50d1b82,São Mateus,BR,BR-ES,32,"1,6434",0:03:04
0x7aa8cf9890f4efb:0x5fc87330ce0960a7,Ipojuca,BR,BR-PE,31,"0,9804",0:01:53
0x7ab107cc8ec5c4d:0x14cbb8134030c97b,Camaragibe,BR,BR-PE,31,"0,7697",0:01:29
0x7ab6289b53fb53b:0xf45836ebbef680cb,Goiana,BR,BR-PE,31,"0,6412",0:01:14
0x7f695d40a5ce66d:0x4a173edc2236853a,Paço do Lumiar,BR,BR-MA,31,"0,4239",0:00:49
0x92ca9c1f6b0c58e9:0x561a8d51fd028d1c,Santa Inês,BR,BR-MA,31,"1,251",0:02:25
0x94cf0605de97e6bd:0x5312706bb5ec989f,Itapevi,BR,BR-SP,31,"0,7445",0:01:26
0x99b2d304f9e55f:0x7bf2f5c84f7654a5,Teresópolis,BR,BR-RJ,31,"0,3736",0:00:43
0x7061f7c1004603d:0x9ad205a3c0339894,Santana do Ipanema,BR,BR-AL,30,"0,7614",0:01:31
0x794e431344db635:0xa9ae33063039cd34,Guaraciaba do Norte,BR,BR-CE,30,"0,9652",0:01:55
0x94ce4278871d7eef:0x9eaaca862adb4ede,Santo André,BR,BR-SP,30,"0,466",0:00:55
0x975e1971d0baa7:0x85c6ef0e0cc50317,Saquarema,BR,BR-RJ,30,"2,7396",0:05:28
0xb7aa0db8040e57:0x49c8de63da9f311e,Colatina,BR,BR-ES,30,"0,5021",0:01:00
0x7385ccad1fe7b63:0x7e14f1198ee7ea92,Ibicaraí,BR,BR-BA,29,"0,3436",0:00:42
0x7a7163a02243ecf:0x106b2cc6df8663f1,Serra Talhada,BR,BR-PE,29,"0,685",0:01:25
0x7f6968b33fea777:0xef3e1f3623a6fbba,São José de Ribamar,BR,BR-MA,29,"0,8294",0:01:42
0x92a45fe447932a59:0xf3812b35573454d3,Ananindeua,BR,BR-PA,29,"1,6052",0:03:19
0x7ace8eaee9be29d:0x90583f799e58b6ab,Bayeux,BR,BR-PB,28,"1,4245",0:03:03
0x7b89730b538a417:0xe105328aca59abe1,Cascavel,BR,BR-CE,28,"1,0596",0:02:16
0x92bf8d242666bae1:0xfb06ca21d63469a1,Tucuruí,BR,BR-PA,28,"0,4792",0:01:01
