Cidades,Nome da cidade,País,País,Visualizações,Tempo de exibição (horas),Duração média da visualização
0x7bf3b38243d50fb:0xcb67deed7d3b7fe3,Baturité,BR,BR-CE,15,0.2732,0:01:05
0x7c755918140f5d3:0x4cc8b68039e04230,Pacatuba,BR,BR-CE,15,0.0989,0:00:23
0x93632f6a9587e25f:0x10df2dfa6e1216b4,Mineiros,BR,BR-GO,14,0.4003,0:01:42
0x71022e52d4fb431:0x185505e7c0b715b0,Lagarto,BR,BR-SE,13,1.762,0:08:07
0x7142ef1e7beca53:0x6adbfe587bcdd1cf,Conceição do Jacuípe,BR,BR-BA,13,0.2395,0:01:06
0x7463b073025e405:0x78be45452bd92ae3,Vitória da Conquista,BR,BR-BA,13,0.5633,0:02:35
0x7aa24fd35ab44f5:0xd902825d05a2cec9,Bezerros,BR,BR-PE,13,0.7184,0:03:18
0x7ae111e2b5a7c6b:0xc3aa52476eef8d2f,Cuité,BR,BR-RN,13,0.3746,0:01:43
0x7f6968b33fea777:0xef3e1f3623a6fbba,São José de Ribamar,BR,BR-MA,13,1.2886,0:05:56
0x92a45fe447932a59:0xf3812b35573454d3,Ananindeua,BR,BR-PA,13,0.1819,0:00:50
0x948ebb81fa47fbe1:0x32551dfc7e25f5d6,Ivinhema,BR,BR-MS,13,0.5228,0:02:24
0x7ab107cc8ec5c4d:0x14cbb8134030c97b,Camaragibe,BR,BR-PE,12,0.4808,0:02:24
0x7ab9de402c11805:0x748a6afb6f59cf24,Nazaré da Mata,BR,BR-PE,12,0.3101,0:01:33
0x7ad05dea9606561:0x71f5689b8df6bb5d,Mamanguape,BR,BR-PB,12,0.0942,0:00:28
0x95199cd2566acb1d:0x603111a89f87e91f,Porto Alegre,BR,BR-RS,12,0.141,0:00:42
0x7107012e4de6781:0x2e46ea8df410fb42,Estância,BR,BR-SE,11,0.2488,0:01:21
0x7165d96e31dc679:0xdb6ce10b1e390a20,Dias d'Ávila,BR,BR-BA,11,0.2686,0:01:27
0x7390a3f7b1d2a77:0xfc575920401943ea,Ilhéus,BR,BR-BA,11,0.0801,0:00:26
0x73f7d9913abc30d:0x8a4d8d24c4f19153,Jaguaquara,BR,BR-BA,11,0.099,0:00:32
0x76c56b43fbf9c45:0xd28cc2f5a189ff3b,Jacobina,BR,BR-BA,11,1.5842,0:08:38
0x773718dc881547f:0xbcbb39e48d5134de,Juazeiro,BR,BR-BA,11,0.0714,0:00:23
0x7a888869bec7185:0x8f5f83548056563d,Monteiro,BR,BR-PB,11,0.2386,0:01:18
0x7aa8cf9890f4efb:0x5fc87330ce0960a7,Ipojuca,BR,BR-PE,11,0.2431,0:01:19
0x7aaf07ec0088f1f:0x79afc0089b9afbdc,Cabo de Santo Agostinho,BR,BR-PE,11,0.8355,0:04:33
0x7b8b00149e12153:0xba87c00a25f9a426,Horizonte,BR,BR-CE,11,0.0663,0:00:21
0x7be529263274c5b:0x7be3cc9c33557d66,Canindé,BR,BR-CE,11,0.1168,0:00:38
0x7be9fc4afc3f5e3:0x4920f6ec47296ab2,Quixadá,BR,BR-CE,11,0.1301,0:00:42
0x92c55fa57838978f:0x9b2552d5a3c79685,Imperatriz,BR,BR-MA,11,0.4355,0:02:22
0x9985c034c8b985:0x262ee793dfcc1775,Niterói,BR,BR-RJ,11,0.8768,0:04:46
0x76cb4ec2c86ec03:0xfda29dfa69bda89d,Capim Grosso,BR,BR-BA,10,0.086,0:00:30
0x76d5720ed1473f7:0x3eda83c2d2d73d8a,Senhor do Bonfim,BR,BR-BA,10,0.2597,0:01:33
0x76ed4b095788d41:0xe89c8ac1ddaeedf9,Irecê,BR,BR-BA,10,0.0779,0:00:28
0x7a567ec8bf27781:0x6749b319f2224aeb,São Bento,BR,BR-PB,10,0.1376,0:00:49
0x7aa54a93d22ad87:0x813856d6816ceb4b,Vitória de Santo Antão,BR,BR-PE,10,0.2079,0:01:14
0x7ae111e2b5a7c6b:0xc3aa52476eef8d2f,Cuité,BR,BR-PB,10,0.0642,0:00:23
0x7b8b9ed6a1b9089:0xc5bef6a343064861,Pacajus,BR,BR-CE,10,0.0504,0:00:18
0x7b9b1e756001ebb:0xf679966fd97abab9,Aracati,BR,BR-CE,10,0.8865,0:05:19
0x94b8f15fecb7508b:0xbdaebe35da49b086,Araraquara,BR,BR-SP,10,0.1599,0:00:57
0x9503ca434a8b9533:0x635dcc96e4d7a4d9,Santa Maria,BR,BR-RS,10,0.8068,0:04:50
