Cidades,Nome da cidade,País,País,Visualizações,Tempo de exibição (horas),Duração média da visualização
0x7ab17fa77c07f29:0x78d856ff05dd791,Olinda,BR,BR-PE,69,0.6893,0:00:35
0x9288f9213cb04ad5:0x80be3f9dd767d647,Santarém,BR,BR-PA,69,0.6167,0:00:32
0x9503ca434a8b9533:0x635dcc96e4d7a4d9,Santa Maria,BR,BR-RS,68,0.7119,0:00:37
0x94c8bcfd64c3182d:0x8e575af90f766b31,Sumaré,BR,BR-SP,67,0.5635,0:00:30
0x94c9c32c478c87cf:0xfb00e9b3715381fe,Poços de Caldas,BR,BR-MG,67,0.4769,0:00:25
0x94cdcccd1a1b762b:0xd7feb2aaeb4805b2,Jacareí,BR,BR-SP,67,0.6035,0:00:32
0x94cecbb720773b17:0x670295f5c3baa2d4,Bragança Paulista,BR,BR-SP,67,0.7104,0:00:38
0x95104991ad796447:0x99bab4aec1bd644f,Pelotas,BR,BR-RS,66,0.4896,0:00:26
0x99007e82d9236f:0xa9241871d369007a,Petrópolis,BR,BR-RJ,66,0.409,0:00:22
0x7b25fc7358f3f71:0x156ca96a2341ac50,São José de Mipibu,BR,BR-RN,65,0.4806,0:00:26
0x935efbd4bcc9396d:0x138ecc5abca8e4e8,Aparecida de Goiânia,BR,BR-GO,63,0.6542,0:00:37
0x94bad03162627637:0x8e83d9edb0f8e15c,Uberaba,BR,BR-MG,58,0.5475,0:00:33
0x996454fda3e67b:0x7a3f4c17541603a3,São João de Meriti,BR,BR-RJ,58,0.4662,0:00:28
0x94c0184fc63ff343:0x3431a2108ac1f4c,Ourinhos,BR,BR-SP,57,0.5623,0:00:35
0xbdd5d1be81b545:0xee97b136e7168ee1,Campos dos Goytacazes,BR,BR-RJ,57,0.6244,0:00:39
0x8d61e5e06b4b1a37:0x56357df330df0f97,Macapá,BR,BR-AP,56,0.5554,0:00:35
0x9493f45d3ca3d435:0x7db8d361d2635f6a,Presidente Prudente,BR,BR-SP,56,0.5952,0:00:38
0x94c7dba833b7ed7d:0xeff01d8a3c639a61,Rio Claro,BR,BR-SP,56,0.4318,0:00:27
0x94c890ab2f6cf6c5:0xb2d4b062498ecda8,Americana,BR,BR-SP,56,0.5809,0:00:37
0x94b87726bb9dd181:0xd9d7d71505999bc,São Carlos,BR,BR-SP,55,0.4661,0:00:30
0x94b8f15fecb7508b:0xbdaebe35da49b086,Araraquara,BR,BR-SP,55,0.4722,0:00:30
