# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Tribuna do Norte
# Propriedade: https://tribunadonorte.com.br – GA4
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20220101
# Data de término: 20221231
Título da página e nome da tela,Visualizações,Usuários,Visualizações por usuário,Tempo médio de engajamento,Contagem de eventos,Conversões,Receita total
"Veja parcial para Presidente, Governo do Estado e Senado no RN com 1% das urnas apuradas - 02/10/2022 - Notícia - Tribuna do Norte",13682,11477,1.1921233771891608,23.008887339897186,52646,0,0
Genial/Quaest: Diferença entre Lula e Bolsonaro no Nordeste cai 16 pontos percentuais - 06/07/2022 - Notícia - Tribuna do Norte,13588,12444,1.0919318547090968,39.13749598199936,42179,0,0
Investigado por defender golpe de estado já foi condenado a indenizar restaurante Camarões por plágio - 23/08/2022 - Notícia - Tribuna do Norte,13567,10932,1.241035492133187,63.322905232345406,44382,0,0
"Bruno recebeu propostas, mas diz o que o fez ficar no América - 04/10/2022 - Notícia - Tribuna do Norte",13480,11506,1.1715626629584563,34.62071962454372,62245,0,0
"No RN, 136 seções eleitorais mudaram de local; confira lista - 27/09/2022 - Notícia - Tribuna do Norte",13427,10193,1.3172765623467084,34.31708034925929,59919,0,0
Criminosos fazem arrastão e levam celulares e malas de passageiros de micro-ônibus no RN - 13/10/2022 - Notícia - Tribuna do Norte,13399,9998,1.3401680336067214,56.94438887777555,53143,0,0
Dois atacantes deixam o ABC na reta final da Série C - 22/09/2022 - Notícia - Tribuna do Norte,13318,10765,1.237157454714352,42.58588016720854,51886,0,0
PRF faz apreensão de mais de uma tonelada de cocaína na Grande Natal - 19/09/2022 - Notícia - Tribuna do Norte,13241,11097,1.1932053708209427,27.71442732269983,57461,0,0
Final da Série D já tem data e confronto definido; saiba quando o América joga - 12/09/2022 - Notícia - Tribuna do Norte,13232,10913,1.2124988545771098,46.48171905067351,52662,0,0
Rio Grande do Norte tem primeiro caso confirmado de varíola dos macacos - 01/07/2022 - Notícia - Tribuna do Norte,13149,11299,1.1637313036551906,65.5127002389592,37454,0,0
"Fundase abre 577 vagas para cargos de nível médio e superior; salários de até R$ 3.967,09 - 19/07/2022 - Notícia - Tribuna do Norte",13011,9429,1.37989182309895,50.75182946229717,38389,0,0
Você está pesquisando por Governo do Estado no TN Online - Maior produtor de conteúdo jornalístico do RN,12933,1680,7.698214285714286,314.03035714285716,42385,0,0
"Em Natal, Lula diz que vai ""abrasileirar"" os preços dos combustíveis. Assista - 16/06/2022 - Notícia - Tribuna do Norte",12855,10187,1.261902424658879,48.71758123098066,36655,0,0
TRE aprova as contas de Lagartixa; deputado será diplomado nesta segunda (19) - 14/12/2022 - Notícia - Tribuna do Norte,12763,11267,1.1327771367711015,8.642052010295554,66834,0,0
Servidores do RN cobram parcela do 13º em setembro - 12/09/2022 - Notícia - Tribuna do Norte,12759,8322,1.5331651045421775,126.8155491468397,51177,1,0
Nova conta de luz entra em vigor no RN em setembro; entenda mudanças - 31/08/2022 - Notícia - Tribuna do Norte,12730,9656,1.3183512841756422,64.52413007456504,36939,0,0
Governo exclui de decreto cadastro de imóveis privados sem utilização - 21/10/2022 - Notícia - Tribuna do Norte,12729,9028,1.4099468320779796,74.00287992910944,60466,0,0
Dono da Havan reitera posicionamento e diz que RN é o estado mais burocrático do país - 26/09/2022 - Notícia - Tribuna do Norte,12680,9744,1.3013136288998357,80.54012725779967,55321,0,0
